crew_id,name,born_year,death_year,profession,known_for
nm0802153,Khushwant Singh,1915,2014,actor|writer,tt0325294|tt0170704|tt6415198|tt0405989
nm0802377,Tapan Sinha,1924,2009,director|writer|composer,tt0322877|tt0049393|tt0123370|tt0345177
nm0807077,Mariya Smirnova,1905,1993,writer,tt0265059|tt0314530|tt0129338|tt0039810
nm0814343,Bhappi Sonie,1928,2001,director|producer|writer,tt0381079|tt0070241|tt0053791|tt0317751
nm0819983,Johanna Spyri,1827,1901,writer,tt0049296|tt0047431|tt0149924|tt0028988
nm0820232,C.V. Sridhar,1933,2008,director|writer|producer,tt0139157|tt0320119|tt0176075|tt0055220
nm0834529,August Strindberg,1849,1912,writer|soundtrack,tt5203176|tt0043567|tt0019441|tt0010612
nm0836899,Adurthi Subba Rao,1912,1975,director|writer|producer,tt0357811|tt0064244|tt0261357|tt0061974
nm0837675,Sujatha,1935,2008,writer|producer,tt0320736|tt0376127|tt0479751|tt1305797
nm0849195,Lekh Tandon,1929,2017,director|actor|writer,tt0367110|tt0150417|tt0405508|tt0340091
nm0854919,Vijay Tendulkar,1928,2008,writer|actor,tt0085178|tt0296702|tt0080322|tt0192566
nm0856897,Dinesh Thakur,1947,2012,actor|writer,tt0248012|tt0214832|tt0451614|tt0077609
nm0856902,Ramchandra Thakur,1908,1992,director|writer,tt0213687|tt0370799|tt0387376|tt2158747
nm0858235,A.C. Trilogchander,1930,2016,director|writer,tt0425531|tt0469826|tt1437598|tt0457781
nm0873035,S.N. Tripathi,1913,1988,composer|actor|director,tt0246313|tt0368196|tt0824355|tt2112252
nm0894340,Deven Verma,1937,2014,actor|producer|director,tt0246493|tt0158375|tt0215517|tt0320124
nm0903423,Neeraj Vora,1963,2017,actor|writer|director,tt0242519|tt0995031|tt0495034|tt0255305
nm0905562,J.B.H. Wadia,1901,1986,writer|director|producer,tt0358194|tt0139443|tt0398671|tt0372038
nm0905571,Hansa Wadkar,1924,1971,actress|writer,tt0149751|tt0031714|tt0158915|tt0374040
nm0947899,Valentin Ezhov,1921,2004,writer,tt0101283|tt0052600|tt0066565|tt0095114
nm1022183,Ved Prakash Sharma,1955,2017,writer,tt0196635|tt0114317|tt0391741
nm1031494,Arabinda Mukhopadhyay,1919,2016,director|writer|assistant_director,tt2902584|tt0243855|tt0066758|tt1587224
nm1032084,Amrita Pritam,1919,2005,writer|music_department|soundtrack,tt0363729|tt1620501|tt0347779
nm1054473,Manish Acharya,1967,2010,actor|cinematographer|producer,tt0362771|tt1012757|tt8885192|tt1172203
nm1055782,Naqsh Lyallpuri,1928,2017,music_department|soundtrack|writer,tt1512844|tt0230527|tt0293081|tt0384915
nm1072561,Anant Balani,1962,2003,director|writer|producer,tt0382188|tt0385793|tt0102645|tt0348190
nm1126884,Shomu Mukherjee,1943,2008,writer|producer|director,tt0257475|tt0187395|tt0111067|tt0359266
nm1135640,Dilip Chitre,1938,2009,writer|music_department|director,tt0153545|tt0309632|tt0085178
nm1163220,Sushmita Banerjee,1964,2013,writer,tt0312664
nm1168263,Nirmal Verma,1929,2005,writer,tt1252475|tt0068929
nm1194313,Mahasweta Devi,1926,2016,writer,tt0063540|tt0178562|tt0108001|tt0832902
nm1197951,M. Bhaskar,1935,2013,director|assistant_director|writer,tt10687386|tt0176075|tt0154821|tt0323553
nm1213496,Gauri Prasanna Mazumder,1924,1986,music_department|writer,tt0177497|tt0152700|tt0053104|tt0233937
nm1238805,Narayan Sanyal,1924,2005,writer,tt0244776|tt0989846|tt0989793|tt0367900
nm1253550,U.R. Ananthamurthy,1932,2014,writer,tt0310714|tt0066324|tt0076080|tt0246567
nm1260317,Bankimchandra Chatterjee,1838,1894,writer|music_department,tt0214652|tt0155083|tt0154234|tt0155089
nm1275836,Nihar Ranjan Gupta,1911,1986,writer|director,tt8728966|tt0056232|tt0149774|tt0060659
nm1277085,Manoj Punj,1970,2006,director|writer,tt1620971|tt0449221|tt0308875|tt0892113
